id,lambda_h,lambda_a,cs_h_p,cs_a_p
241,3.1247222,0.863776,0.42156723,0.04394914
242,0.644687,1.7983629,0.16556972,0.52482677
243,1.3630836,0.7473829,0.47360438,0.25587055
244,1.4253325,0.64281076,0.5258124,0.2404285
245,1.4476613,1.2632211,0.2827418,0.23511952
246,2.9912837,1.7560157,0.17273171,0.050222926
247,1.145605,0.95065385,0.38648823,0.31803146
248,1.0658798,1.1996846,0.30128923,0.34442466
249,1.1366616,0.7455802,0.47445893,0.32088846
250,1.4809415,1.1796975,0.3073717,0.22742346
251,1.2798964,2.2727304,0.10303049,0.2780661
252,0.73567384,1.4197019,0.24178608,0.47918245
253,0.8569731,1.2885596,0.2756676,0.4244449
254,1.8582671,0.89999014,0.40657365,0.15594263
255,0.94160795,1.6193868,0.19802009,0.3900002
256,0.9408079,1.4318911,0.23885679,0.39031237
257,1.7159333,0.61365575,0.5413681,0.17979585
258,2.2380364,0.6388219,0.52791405,0.10666775
259,1.5035176,0.5541775,0.5745446,0.22234665
260,1.1668333,1.4652965,0.23100948,0.31135136
261,2.0927033,2.1494787,0.116544895,0.12335322
262,1.0307751,0.6477827,0.52320457,0.35673034
263,1.9694319,1.5401554,0.2143478,0.1395361
264,3.0876968,1.6231773,0.1972709,0.045606874
265,1.8288695,1.075567,0.3411043,0.16059503
266,0.5232297,1.5640856,0.20927928,0.5926035
267,1.0375932,0.80885357,0.44536832,0.35430637
268,1.2147808,0.6274541,0.53394943,0.29677507
269,0.62827325,1.0089983,0.364584,0.5335123
270,0.41953102,1.1774759,0.3080553,0.65735507
271,1.0015352,3.1542008,0.042672493,0.36731508
272,0.8030946,0.9611316,0.38245985,0.44794062
273,1.8736832,0.96192575,0.38215625,0.15355703
274,1.0385975,0.8156977,0.44233057,0.35395074
275,1.367326,0.84470075,0.42968592,0.25478736
276,1.5264602,0.76381785,0.4658844,0.21730351
277,1.7391021,0.91717696,0.3996457,0.17567806
278,0.86085284,1.9516556,0.1420387,0.42280138
279,1.1247321,0.80788743,0.4457988,0.32473946
280,1.4637762,1.1835161,0.3062002,0.23136094
281,0.8110409,1.3662795,0.25505415,0.44439527
282,1.1434261,1.036888,0.35455632,0.3187252
283,1.0517282,4.4407616,0.011786958,0.3493335
284,0.6409035,1.4524779,0.23398975,0.52681625
285,1.2390941,0.26645178,0.76609296,0.2896465
286,0.9350173,0.37282476,0.6887859,0.39257908
287,1.6295397,0.3313349,0.7179646,0.19601978
288,4.330697,0.35463893,0.7014266,0.013158372
289,1.3070143,1.0814334,0.33910906,0.27062684
290,1.3581425,0.58969164,0.55449826,0.25713795
291,1.3825504,1.1869506,0.30515042,0.25093776
292,1.8055633,2.330489,0.09724819,0.16438182
293,2.37644,0.541734,0.58173865,0.09288064
294,2.4135163,1.5471047,0.21286339,0.08950003
295,1.8550025,1.2105758,0.2980256,0.15645257
296,0.7197541,1.086266,0.33747426,0.48687196
297,1.7187003,2.7021682,0.06705995,0.17929904
298,0.7014075,0.6958676,0.49864167,0.49588683
299,1.5303884,1.2492931,0.2867074,0.21645157
300,0.71714205,2.0402265,0.12999927,0.48814535
301,1.2161345,0.4850377,0.615674,0.29637358
302,1.0730667,2.5390167,0.07894398,0.34195822
303,2.359761,0.52328634,0.59256995,0.09444279
304,1.7134161,1.0630705,0.34539363,0.18024899
305,0.63225424,0.4334873,0.6482445,0.5313925
306,0.6494239,0.35365292,0.70211864,0.5223466
307,1.4102589,0.8399094,0.43174964,0.24408008
308,1.5819666,0.312561,0.73157096,0.20557041
309,0.6707297,1.9644369,0.14023483,0.5113353
310,1.5346698,1.5778046,0.2064278,0.21552686
311,0.38031027,1.3157166,0.26828203,0.6836493
312,2.4652262,0.5692134,0.5659705,0.08498962
313,2.0753868,0.9732075,0.37786907,0.12550788
314,1.8243585,1.5527458,0.21166597,0.1613211
315,1.0179337,1.2408189,0.28914735,0.3613408
316,1.01859,1.5103889,0.2208241,0.36110374
317,1.2080836,2.0547318,0.12812719,0.2987693
318,1.620101,1.1957102,0.30248904,0.19787873
319,1.8007277,1.261281,0.2832909,0.16517864
320,0.7068323,0.6864464,0.50336164,0.49320403
321,1.191068,1.1473625,0.317473,0.30389652
322,1.2787519,0.9830717,0.37416002,0.27838457
323,2.057685,1.0700136,0.3430038,0.12774938
324,1.7277094,1.2460461,0.28763986,0.17769095
325,1.2562687,1.1750035,0.3088179,0.28471437
326,1.7176956,1.7123034,0.18044965,0.17947926
327,3.1189036,0.74194026,0.47618908,0.044205606
328,0.8202265,0.99506897,0.36969793,0.44033194
329,1.4540827,0.8120272,0.44395715,0.23361456
330,1.8936834,1.3912816,0.2487563,0.15051636
331,1.1722862,1.8379611,0.15914157,0.3096582
332,1.4935169,0.8285326,0.43668965,0.22458144
333,1.9386894,0.908761,0.40302324,0.14389242
334,1.5122399,1.6366152,0.19463773,0.22041573
335,1.7909678,0.62002903,0.5379289,0.16679867
336,1.7203377,0.81792146,0.44134805,0.17900567
337,1.9424683,1.0244658,0.3589882,0.14334968
338,1.8416679,0.9900228,0.3715682,0.15855275
339,1.4983599,1.268659,0.2812085,0.2234964
340,2.0445065,0.84512925,0.42950183,0.12944405
341,0.96364576,0.9576631,0.3837887,0.3814995
342,0.7231595,1.150855,0.3163662,0.48521677
343,0.904456,2.1141114,0.12074052,0.40476197
344,1.6517528,1.0817131,0.3390143,0.19171357
345,1.6821,1.0362172,0.35479426,0.18598299
346,2.0189536,1.8151162,0.162819,0.13279435
347,2.0945625,0.67012244,0.5116459,0.1231241
348,1.6540828,0.57675,0.56172097,0.1912674
349,0.97234774,1.2592657,0.2838624,0.37819406
350,1.3161129,1.2763557,0.27905238,0.26817572
351,1.4114238,0.99231917,0.37071595,0.24379592
352,1.1549745,1.2730888,0.27996552,0.31506562
353,1.9668456,0.977056,0.37641764,0.13989745
354,1.2729192,0.94598275,0.38829777,0.28001302
355,2.1787448,0.9317712,0.39385545,0.11318352
356,1.863571,1.5218519,0.21830724,0.1551177
357,2.0559213,1.4074745,0.24476065,0.12797488
358,1.6500337,0.6686413,0.51240426,0.19204342
359,1.4962534,0.51524234,0.59735584,0.22396772
360,1.0660276,0.8372098,0.43291673,0.34437376
361,1.8902524,1.8389475,0.15898466,0.15103368
362,0.93403393,1.4575906,0.2327965,0.3929653
363,2.1428018,0.9519326,0.38599432,0.11732567
364,0.5236206,1.8161774,0.16264631,0.59237194
365,1.742566,0.70520574,0.49400696,0.17507058
366,2.135052,0.6139097,0.5412307,0.11823844
367,1.5932895,1.5732217,0.20737602,0.2032559
368,1.1787624,1.1339142,0.3217713,0.30765924
369,2.12347,0.5654537,0.56810236,0.11961584
370,1.5362353,1.5082499,0.22129695,0.21518968
371,2.4995074,1.0073973,0.36516818,0.08212545
372,1.3862152,1.0358871,0.3549114,0.2500198
373,1.5548599,1.4868406,0.22608581,0.21121897
374,1.6264771,1.077186,0.3405525,0.19662103
375,2.6729457,1.3255639,0.2656531,0.06904853
376,1.2199292,1.534886,0.21548025,0.29525107
377,2.411619,0.5514665,0.5761043,0.08967
378,2.9619308,0.97086096,0.37875676,0.05171896
379,1.807875,1.3723488,0.25351083,0.16400227
380,1.2982366,0.8988954,0.407019,0.2730128
381,2.448883,1.2448895,0.28797275,0.086390026
382,2.3379343,0.5258996,0.59102345,0.09652683
383,0.44394735,1.7228887,0.17854962,0.64149916
384,1.7279446,1.4524392,0.23399882,0.17764917
385,2.0456688,0.9025796,0.4055222,0.12929368
386,1.3296031,0.5412868,0.5819988,0.26458228
387,1.2226244,1.2056347,0.29950184,0.2944564
388,0.6554282,1.9045451,0.14889036,0.5192197
389,1.7244506,1.209282,0.29841146,0.17827097
390,1.2391506,1.6249237,0.19692671,0.28963014
391,2.53727,0.7513114,0.4717475,0.079082
392,1.2606091,1.34017,0.26180118,0.2834813
393,2.3785968,0.9788072,0.37575904,0.092680536
394,2.4216394,1.3152428,0.26840916,0.08877595
395,2.0007966,1.7175833,0.1794994,0.13522753
396,1.161333,1.9402341,0.14367032,0.3130686
397,1.3473753,1.6855557,0.1853414,0.25992158
398,1.6095877,1.3699957,0.25410804,0.19997004
399,1.360939,0.48936108,0.6130179,0.2564199
400,1.0790951,1.3841442,0.2505381,0.33990294
401,0.729435,1.9067131,0.14856791,0.48218137
402,1.1953002,0.9391084,0.39097625,0.3026131
403,1.1264266,0.97924703,0.37559378,0.32418966
404,2.1094592,3.5766947,0.027967988,0.12130356
405,1.7638805,1.2275844,0.2929995,0.17137855
406,1.9500538,0.4023074,0.66877514,0.14226641
407,1.7180986,2.1483874,0.11667214,0.17940693
408,0.50240326,1.4030868,0.24583694,0.60507476
409,0.6876533,1.4537892,0.23368314,0.5027545
410,1.9221195,1.5091009,0.22110868,0.14629656
411,1.5329263,0.723573,0.4850162,0.21590294
412,1.388857,1.1217902,0.32569623,0.24936017
413,1.3213152,0.9853273,0.373317,0.2667842
414,0.9429318,1.2079772,0.2988011,0.38948432
415,1.5933989,1.2396237,0.28949314,0.20323366
416,2.1012535,0.37916982,0.6844294,0.12230303
417,1.9916489,0.8371267,0.43295276,0.13647021
418,1.6839819,1.0655221,0.34454796,0.18563333
419,1.9814115,1.9430264,0.1432697,0.1378745
420,1.4082108,1.1277913,0.32374755,0.24458052
421,1.0844262,1.6369987,0.1945631,0.33809572
422,0.93897825,3.3104866,0.036498412,0.39102715
423,1.6525829,1.036862,0.35456553,0.1915545
424,2.0808716,0.6053756,0.5458694,0.12482137
425,1.445253,1.6503403,0.19198456,0.23568645
426,1.9746473,0.8313154,0.43547606,0.13881026
427,0.9187309,2.2233434,0.108246595,0.3990251
428,1.9363872,0.76140994,0.46700752,0.14422408
429,1.1168497,0.8992271,0.40688404,0.3273093
430,1.5571691,2.457737,0.08562852,0.21073179
431,1.4163549,0.8244768,0.43846437,0.2425967
432,2.7454762,2.3740933,0.093098864,0.06421771
433,1.7324985,1.6809604,0.18619506,0.17684199
434,1.4970449,0.9447209,0.38878804,0.2237905
435,1.2369554,0.47237557,0.6235193,0.29026663
436,1.9425446,0.4549962,0.63445044,0.14333874
437,0.45272106,1.7539324,0.17309195,0.63589555
438,1.1617402,1.4711361,0.22966442,0.31294116
439,0.93191123,1.4750159,0.2287751,0.39380035
440,2.2199626,1.3769218,0.25235417,0.10861317
441,1.6717561,1.0452838,0.35159203,0.18791676
442,1.1571078,1.2547504,0.285147,0.31439415
443,1.340082,0.789363,0.45413393,0.26182416
444,0.9595471,1.6653446,0.18912546,0.3830663
445,1.9788907,0.8571272,0.42437947,0.13822249
446,2.5170674,1.2329012,0.29144582,0.08069591
447,0.67346513,0.97295344,0.37796506,0.50993854
448,1.5676409,0.9806368,0.3750722,0.20853657
449,0.6401914,1.5274255,0.21709384,0.5271915
450,1.4144729,1.7414058,0.17527382,0.24305367
451,0.9683844,1.0572141,0.34742233,0.37969598
452,1.1345466,1.257924,0.28424352,0.3215679
453,1.0749868,1.6981903,0.18301441,0.34130225
454,1.7002064,1.3183645,0.26757255,0.18264581
455,0.95718217,1.3921213,0.2485475,0.38397333
456,1.5275217,1.5197326,0.21877037,0.21707296
457,2.8932083,1.0743812,0.341509,0.0553982
458,1.5828046,0.74739724,0.47359762,0.20539823
459,1.644785,1.2610354,0.28336048,0.19305405
460,1.154817,0.5873203,0.5558147,0.3151152
461,1.009649,0.8234944,0.43889531,0.36434677
462,0.51626235,0.83820397,0.4324866,0.5967468
463,2.1144958,1.1722333,0.30967456,0.12069413
464,1.5045489,0.6158445,0.54018456,0.22211745
465,2.1918905,0.97183186,0.37838924,0.11170538
466,1.808093,2.6481774,0.0707801,0.16396654
467,1.241659,1.2314003,0.29188356,0.28890452
468,1.4494296,1.7955382,0.16603808,0.23470412
469,2.0612466,0.9477244,0.38762212,0.12729518
470,1.4493996,0.9372993,0.39168426,0.23471117
471,1.547982,1.7777117,0.16902448,0.21267673
472,1.7081509,0.8179822,0.44132128,0.18120053
473,1.0122873,1.7339987,0.17657693,0.36338687
474,1.9470997,1.7873133,0.16740935,0.14268732
475,1.9410683,0.57769775,0.5611889,0.14355052
476,0.9556882,0.9255211,0.3963248,0.38454738
477,1.1345083,0.98042774,0.37515056,0.32158023
478,1.6915655,1.2247034,0.29384485,0.18423088
479,1.5703211,0.8370105,0.43300304,0.2079784
480,1.3600695,1.8879589,0.15138048,0.25664294
481,2.969758,1.961101,0.14070341,0.05131573
482,1.2484906,0.6731069,0.51012117,0.2869376
483,1.7654852,0.7477491,0.47343102,0.17110375
484,1.9397814,0.7792354,0.45875666,0.14373536
485,1.0912917,0.8838607,0.41318467,0.3357825
486,1.5069149,0.839996,0.43171227,0.22159256
487,1.5147486,1.1584237,0.31398073,0.21986346
488,1.3738827,1.2218227,0.29469252,0.25312227
489,0.64414245,1.1976317,0.3019084,0.5251127
490,0.70142484,0.8614366,0.42255458,0.49587822
491,1.1996983,0.9986498,0.36837646,0.3012851
492,1.3234869,1.1967195,0.3021839,0.26620543
493,2.2885368,1.2499464,0.28652015,0.10141474
494,1.3401407,2.0463018,0.12921187,0.2618088
495,1.4768361,1.3614168,0.2562974,0.22835904
496,1.5624404,0.362569,0.6958863,0.20962387
497,1.9343129,1.9207785,0.14649287,0.14452353
498,1.2932981,1.630325,0.19586591,0.2743644
499,1.226228,1.9341941,0.14454071,0.2933972
500,1.1336652,1.3715074,0.25372422,0.32185143
501,1.8267102,1.7994217,0.16539451,0.16094217
502,1.1922699,1.0351106,0.3551871,0.30353147
503,1.474235,1.4106194,0.24399213,0.2289538
504,0.7470138,2.2628124,0.104057424,0.47377926
505,0.70894504,1.3404405,0.26173037,0.49216315
506,2.378564,1.4103452,0.24405903,0.09268358
507,2.4559906,1.1616201,0.31297868,0.085778184
508,1.2528287,0.94161165,0.3899988,0.2856955
509,2.3641152,1.3725821,0.25345168,0.09403246
510,1.2487143,1.2109219,0.2979225,0.2868734
511,1.6992137,1.5472668,0.21282889,0.1828272
512,2.094385,0.7183243,0.48756862,0.12314596
513,1.9949751,1.092058,0.3355253,0.13601704
514,1.7518737,0.7250219,0.48431394,0.17344864
515,1.427307,1.0678682,0.34374052,0.23995425
516,2.351054,0.50067466,0.6061216,0.0952687
517,0.47862184,1.6979256,0.18306287,0.6196368
518,1.1433418,1.450659,0.23441577,0.31875205
519,1.0760279,2.354131,0.094976,0.34094715
520,1.7694398,1.8135765,0.16306989,0.17042843
521,1.2669258,1.1833631,0.30624706,0.28169626
522,1.5879627,1.4396137,0.2370193,0.20434147
523,1.5327203,1.521592,0.21836396,0.2159474
524,1.2306958,1.2865978,0.2762089,0.29208925
525,1.1056595,1.4435513,0.23608784,0.33099255
526,1.0813061,1.2420115,0.2888027,0.33915228
527,1.3131272,0.7966435,0.45083967,0.2689776
528,1.9761658,0.7235238,0.48504004,0.13859963
529,0.8237105,0.48482558,0.61580455,0.43880045
530,1.7129772,1.3590928,0.25689372,0.18032812
531,0.8938213,1.2022289,0.3005236,0.40908954
532,1.0810022,1.3036934,0.27152708,0.33925536
533,1.316421,1.5061847,0.22175442,0.26809308
534,1.4117627,0.8124399,0.44377398,0.2437133
535,1.0512851,1.5569417,0.2107797,0.34948832
536,1.4074541,1.0266392,0.35820878,0.24476562
537,0.7055692,0.8155696,0.44238728,0.4938274
538,1.6595596,0.88780904,0.41155645,0.19022273
539,1.4880264,0.41600922,0.6596742,0.22581789
540,0.9136237,1.2213664,0.29482704,0.40106824
